result_path,data_set_name,data_set_class,data_set_img_size,data_set_n_samples,model_name,circuit_depth,noise_distr,noise_scale,noise_shift,init_noise_distr,init_noise_scale,init_noise_shift,transformation,measurement_scheme,decoding_scheme,save_artifacts,discriminator_name,generator_name,reupload,gen_init_distr,gen_init_scale,single_data_point,n_epochs,gan_method,noise_tuning,initial_learning_rate_generator,initial_learning_rate_discriminator,discriminator_training_steps,adam_b1,adam_b2,batch_size,n_ancilla_qubits,warm_start,version
experiments/continuous_fashion_mnist_0_1_2_3_4_5_6_7_8_9_32x32_N_60000_minmax_qgan_0533b651,fashion_mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_3_4_5_6_7_8_9_,32,60000,continuous,"(32, 2)",normal_multi_mode,0.1,"0,1,2,3,4,5,6,7,8,9",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.01,,20000,WGAN_10,10,0.001,0.0001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_fashion_mnist_0_1_2_3_4_5_6_7_8_9_32x32_N_60000_minmax_qgan_e098dc80,fashion_mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_3_4_5_6_7_8_9_,32,60000,continuous,"(32, 2)",normal_multi_mode,0.1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.01,,20000,WGAN_10,20,0.001,0.0001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_fashion_mnist_0_1_2_3_4_5_6_7_8_9_32x32_N_60000_minmax_qgan_cbf8da2e,fashion_mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_3_4_5_6_7_8_9_,32,60000,continuous,"(32, 3)",normal_multi_mode,0.1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.01,,50000,WGAN_10,40,0.001,0.0001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_32x32_N_18623_minmax_qgan_daa843cf,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_,32,18623,continuous,"(16, 2)",normal_multi_mode,0.1,"-0.1571,0.0,0.1571",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,10000,WGAN_10,,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_32x32_N_12665_minmax_qgan_f2e2366e,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,32,12665,continuous,"(8, 2)",normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,40000,WGAN_10,2,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_3_4_5_6_7_8_9_32x32_N_60000_minmax_qgan_f3be62bc,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_3_4_5_6_7_8_9_,32,60000,continuous,"(8, 2)",normal_multi_mode,0.1,"0,1,2,3,4,5,6,7,8,9",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.01,,40000,WGAN_10,10,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_3_4_5_6_7_8_9_32x32_N_60000_minmax_qgan_dbe9b988,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_3_4_5_6_7_8_9_,32,60000,continuous,"(16, 2)",normal_multi_mode,0.1,"0,1,2,3,4,5,6,7,8,9",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.01,,40000,WGAN_10,10,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_3_4_5_6_7_8_9_32x32_N_60000_minmax_qgan_c90b8717,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_3_4_5_6_7_8_9_,32,60000,continuous,"(32, 2)",normal_multi_mode,0.1,"0,1,2,3,4,5,6,7,8,9",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.01,,40000,WGAN_10,10,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_32x32_N_18623_minmax_qgan_174c8349,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_,32,18623,continuous,16,normal_multi_mode,0.1,"0,1,2",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,layered_rot_strongly_ent,0,normal,0.05,,15000,WGAN_10,3,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_32x32_N_18623_minmax_qgan_7f68e3ee,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_,32,18623,continuous,16,normal_multi_mode,0.1,"0,1,2",,,,minmax,comp_basis_probs,amplitude,"'samples_20','noise','measurement_outputs'",convolutional,layered_rot_strongly_ent,0,normal,0.05,,15000,WGAN_10,3,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_32x32_N_18623_minmax_qgan_a3edbcf3,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_,32,18623,continuous,"(16, 2)",normal_multi_mode,0.1,"0,1,2",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,15000,WGAN_10,3,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_32x32_N_18623_minmax_qgan_7e20b476,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_,32,18623,continuous,"(16, 2)",normal_multi_mode,0.1,"0,1,2",,,,minmax,comp_basis_probs,amplitude,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,15000,WGAN_10,3,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_2_32x32_N_18623_minmax_qgan_d241d4a5,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_2_,32,18623,continuous,"(16, 2)",normal,0.1,0.0,,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,15000,WGAN_10,both,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_32x32_N_12665_minmax_qgan_e6710f58,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,32,12665,continuous,"(8, 2)",normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,15000,WGAN_10,2,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_16x16_N_12665_minmax_qgan_eaf279f6,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,16,12665,continuous,16,normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,amplitude,"'samples_20','noise','measurement_outputs'",convolutional,layered_rot_strongly_ent,0,normal,0.05,,10000,WGAN_10,2,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_16x16_N_12665_minmax_qgan_5feca26e,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,16,12665,continuous,"(8, 2)",normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,10000,WGAN_10,2,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_8x8_N_12665_minmax_qgan_666bec0e,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,8,12665,continuous,16,normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,amplitude,"'samples_20','noise','measurement_outputs'",convolutional,layered_rot_strongly_ent,0,normal,0.05,,10000,WGAN_10,2,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_8x8_N_12665_minmax_qgan_ca69ce0a,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,8,12665,continuous,"(8, 2)",normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,10000,WGAN_10,2,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_4x4_N_12665_minmax_qgan_dd276b03,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,4,12665,continuous,16,normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,amplitude,"'samples_20','noise','measurement_outputs'",convolutional,layered_rot_strongly_ent,0,normal,0.05,,10000,WGAN_10,2,0.01,0.001,10,0.5,0.9,64,0,0,1.0
experiments/continuous_mnist_0_1_4x4_N_12665_minmax_qgan_a718e85d,mnist{data_set_class}{data_set_img_size}x{data_set_img_size}_N_{data_set_n_samples},_0_1_,4,12665,continuous,"(8, 2)",normal_multi_mode,0.1,"0,1",,,,minmax,comp_basis_probs,FRQI_msb,"'samples_20','noise','measurement_outputs'",convolutional,color_rot_skip_SO4_blocks_noise_angle_next_neighbor_mirror,0,normal,0.05,,10000,WGAN_10,2,0.0025,0.00025,10,0.5,0.9,64,0,0,1.0
